2023-06-02 09:15:19,387 INFO    MainThread:38619 [wandb_setup.py:_flush():76] Configure stats pid to 38619
2023-06-02 09:15:19,388 INFO    MainThread:38619 [wandb_setup.py:_flush():76] Loading settings from /home/xnmaster/.config/wandb/settings
2023-06-02 09:15:19,388 INFO    MainThread:38619 [wandb_setup.py:_flush():76] Loading settings from /home/xnmaster/Synthesis_Project/CheckPoints/wandb/settings
2023-06-02 09:15:19,388 INFO    MainThread:38619 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-06-02 09:15:19,388 INFO    MainThread:38619 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/home/xnmaster/Synthesis_Project/main.py'}
2023-06-02 09:15:19,388 INFO    MainThread:38619 [wandb_init.py:_log_setup():507] Logging user logs to /home/xnmaster/Synthesis_Project/CheckPoints/wandb/run-20230602_091519-5ug8nqw9/logs/debug.log
2023-06-02 09:15:19,388 INFO    MainThread:38619 [wandb_init.py:_log_setup():508] Logging internal logs to /home/xnmaster/Synthesis_Project/CheckPoints/wandb/run-20230602_091519-5ug8nqw9/logs/debug-internal.log
2023-06-02 09:15:19,388 INFO    MainThread:38619 [wandb_init.py:init():547] calling init triggers
2023-06-02 09:15:19,388 INFO    MainThread:38619 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'name': '64_Batch_Size_with_Dropout', 'epochs': 30, 'classes': 94, 'batch_size': 64, 'learning_rate': 1e-06, 'weight_decay': 1e-05, 'input_size': 795, 'dim': 256, 'save': True}
2023-06-02 09:15:19,388 INFO    MainThread:38619 [wandb_init.py:init():595] starting backend
2023-06-02 09:15:19,388 INFO    MainThread:38619 [wandb_init.py:init():599] setting up manager
2023-06-02 09:15:19,390 INFO    MainThread:38619 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-06-02 09:15:19,392 INFO    MainThread:38619 [wandb_init.py:init():605] backend started and connected
2023-06-02 09:15:19,395 INFO    MainThread:38619 [wandb_init.py:init():695] updated telemetry
2023-06-02 09:15:19,413 INFO    MainThread:38619 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-06-02 09:15:19,798 INFO    MainThread:38619 [wandb_run.py:_on_init():2176] communicating current version
2023-06-02 09:15:19,829 INFO    MainThread:38619 [wandb_run.py:_on_init():2185] got version response upgrade_message: "wandb version 0.15.3 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-06-02 09:15:19,829 INFO    MainThread:38619 [wandb_init.py:init():782] starting run threads in backend
2023-06-02 09:15:25,372 INFO    MainThread:38619 [wandb_run.py:_console_start():2157] atexit reg
2023-06-02 09:15:25,372 INFO    MainThread:38619 [wandb_run.py:_redirect():2012] redirect: SettingsConsole.WRAP_RAW
2023-06-02 09:15:25,373 INFO    MainThread:38619 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-06-02 09:15:25,373 INFO    MainThread:38619 [wandb_run.py:_redirect():2102] Redirects installed.
2023-06-02 09:15:25,373 INFO    MainThread:38619 [wandb_init.py:init():824] run started, returning control to user process
2023-06-02 09:16:30,395 INFO    MainThread:38619 [wandb_run.py:_finish():1892] finishing run artificial-intelligence_42/IDISC Lovers/5ug8nqw9
2023-06-02 09:16:30,395 INFO    MainThread:38619 [wandb_run.py:_atexit_cleanup():2126] got exitcode: 1
2023-06-02 09:16:30,396 INFO    MainThread:38619 [wandb_run.py:_restore():2109] restore
2023-06-02 09:16:30,396 INFO    MainThread:38619 [wandb_run.py:_restore():2115] restore done
2023-06-02 09:16:40,448 INFO    MainThread:38619 [wandb_run.py:_footer_history_summary_info():3476] rendering history
2023-06-02 09:16:40,448 INFO    MainThread:38619 [wandb_run.py:_footer_history_summary_info():3508] rendering summary
2023-06-02 09:16:40,451 INFO    MainThread:38619 [wandb_run.py:_footer_sync_info():3434] logging synced files
